HoleId,CompanyHoleId,Dataset,Longitude,Latitude,MaxDepth,Elevation
101533ForrestaniaNMD147,NMD147,,119.68183718562764,-32.45561289848397,572.2000122070312,405.0
101533ForrestaniaNMD148,NMD148,,119.68177563589327,-32.456692735841294,519.8499755859375,404.0
101533ForrestaniaNMD150,NMD150,,119.68122636018344,-32.45778787229211,259.8800048828125,400.0
101533ForrestaniaNMD151,NMD151,,119.68135331236854,-32.45918829324179,720.5999755859375,396.0
101533ForrestaniaNMD153,NMD153,,119.68144090076444,-32.458746922917136,336.2099914550781,398.0
101533ForrestaniaNMD156W1,NMD156W1,,119.68368916330519,-32.457720129141826,689.9500122070312,405.0
101533ForrestaniaNMD158,NMD158,,119.68386237849391,-32.45546287689015,1368.699951171875,410.0
101533ForrestaniaNMD160,NMD160,,119.68188125467614,-32.45721679458262,381.67999267578125,403.0
101533ForrestaniaNMD161,NMD161,,119.6867060962354,-32.451546631737095,1159.300048828125,416.0
101533ForrestaniaNMD161W1,NMD161W1,,119.6867060962354,-32.451546631737095,1389.550048828125,416.0
101533ForrestaniaNMD161W2,NMD161W2,,119.6867055976112,-32.451547030111094,1011.9000244140625,416.0
101533ForrestaniaNMD161W2W1,NMD161W2W1,,119.6867055976112,-32.451547030111094,1261.699951171875,416.0
101533ForrestaniaNMD161W2W1W1,NMD161W2W1W1,,119.6867055976112,-32.451547030111094,1419.8800048828125,416.0
101533ForrestaniaNMD162,NMD162,,119.68188721329366,-32.45721689300267,260.67999267578125,403.0
101533ForrestaniaNMD165,NMD165,,119.68208924943154,-32.45626863908543,324.6700134277344,405.0
101533ForrestaniaNMD167,NMD167,,119.68156252581058,-32.45805891712742,309.2799987792969,400.0
101533ForrestaniaNMD168,NMD168,,119.68156856277493,-32.45805842778991,360.6199951171875,400.0
101533ForrestaniaNMD171,NMD171,,119.68028166273989,-32.458382153502136,125.8499984741211,397.0
101533ForrestaniaNMD174,NMD174,,119.68058928014652,-32.459640217571014,248.97999572753906,394.0
101533ForrestaniaNMD175,NMD175,,119.68190888128234,-32.45721810831417,416.29998779296875,403.0
101533ForrestaniaNMD177,NMD177,,119.68630174155082,-32.452307664291524,1405.1500244140625,414.0
101533ForrestaniaNMD177W1,NMD177W1,,119.68630174155082,-32.452307664291524,1302.989990234375,414.0
101533ForrestaniaNMD177W1W1,NMD177W1W1,,119.68630174155082,-32.452307664291524,1228.800048828125,414.0
101533ForrestaniaNMD177W1W2,NMD177W1W2,,119.68630174155082,-32.452307664291524,1146.800048828125,414.0
101533ForrestaniaNMD177W1W2W1,NMD177W1W2W1,,119.68630174155082,-32.452307664291524,1129.699951171875,414.0
101533ForrestaniaNMD177W1W2W2,NMD177W1W2W2,,119.68630174155082,-32.452307664291524,1113.0,414.0
101533ForrestaniaNMD178,NMD178,,119.6814647276145,-32.458332023573284,389.8999938964844,399.0
101533ForrestaniaNMD179,NMD179,,119.68035098350143,-32.4577731601422,144.0399932861328,398.0
101533ForrestaniaNMD180,NMD180,,119.68088672712094,-32.457329456127525,179.92999267578125,400.0
101533ForrestaniaNMD181,NMD181,,119.68106609723635,-32.456748856434395,144.3800048828125,402.0
101533ForrestaniaNMD182,NMD182,,119.6758098904452,-32.453538398714194,1549.0799560546875,394.0
101533ForrestaniaNMD182W1,NMD182W1,,119.6758098904452,-32.453538398714194,1338.7900390625,394.0
101533ForrestaniaNMD182W1W1,NMD182W1W1,,119.6758098904452,-32.453538398714194,1435.0799560546875,394.0
101533ForrestaniaNMD182W1W1W1,NMD182W1W1W1,,119.6758098904452,-32.453538398714194,1157.9599609375,394.0
101533ForrestaniaNMD182W1W2,NMD182W1W2,,119.6758098904452,-32.453538398714194,1566.699951171875,394.0
101533ForrestaniaNMD182W2,NMD182W2,,119.6758098904452,-32.453538398714194,1419.8499755859375,394.0
101533ForrestaniaNMD183,NMD183,,119.68313364442521,-32.440758720647814,214.07000732421875,424.0
